pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
13151,"The Christian Life: Its Course, Its Hindrances, and Its Helps","Arnold, Thomas, 1795-1842",1795,1842,BX,"Christian life; Sermons, English",Category: Religion/Spirituality,745359,126332
21328,The Parables of Our Lord,"Arnot, William, 1808-1875",1808,1875,BT,Jesus Christ -- Parables,Category: Religion/Spirituality,986992,167286
69022,Worlds in the making: The evolution of the universe,"Arrhenius, Svante, 1859-1927",1859,1927,QB,Cosmogony,Category: Science - Physics; Category: Science - Chemistry/Biochemistry; Category: Science - Earth/Agricultural/Farming,407942,69142
54587,"The Pope, the Kings and the People | A History of the Movement to Make the Pope Governor of the World by a Universal Reconstruction of Society from the Issue of the Syllabus to the Close of the Vatican Council","Arthur, William, 1819-1901",1819,1901,BX,"Pius IX, Pope, 1792-1878; Popes -- Infallibility; Popes -- Temporal power; Vatican Council (1st : 1869-1870 : Basilica di San Pietro in Vaticano); Catholic Church -- History -- 19th century; Papacy -- History -- 1799-1870",Category: History - European; Category: History - Modern (1750+); Category: History - Religious; Category: Politics,1819620,308410
47127,"Tradition, Principally with Reference to Mythology and the Law of Nations","Arundell of Wardour, John Francis Arundell, Baron, 1831-1906",1831,1906,AC; BL,"Mythology; International law; Natural law; Macdonell, George, 1780-1870; Tradition (Theology)","Category: Mythology, Legends & Folklore; Category: History - Other; Category: Law & Criminology; Category: Philosophy & Ethics",1077575,182639
42508,Curious Creatures in Zoology,"Ashton, John, 1834-1911",1834,1911,QL,"Animals -- Folklore; Animals, Mythical","Category: Mythology, Legends & Folklore; Category: Nature/Gardening/Animals; Category: Archaeology & Anthropology",544044,92210
44412,The Devil in Britain and America,"Ashton, John, 1834-1911",1834,1911,BF,Witchcraft -- Great Britain; Devil; Witchcraft -- United States,"Category: Mythology, Legends & Folklore; Category: History - American; Category: History - British",582482,98725
46038,Shinto (the Way of the Gods),"Aston, W. G. (William George), 1841-1911",1841,1911,BL,Shinto,"Category: Mythology, Legends & Folklore; Category: History - Other; Category: History - Religious; Category: Religion/Spirituality",748632,126886
19051,Modern Religious Cults and Movements,"Atkins, Gaius Glenn, 1868-1956",1868,1956,BL,Religion; Christian Science; New Thought; Spiritual healing,Category: History - Modern (1750+); Category: Religion/Spirituality; Category: Sociology,587499,99576
26492,"Studies of American Fungi. Mushrooms, Edible, Poisonous, etc.","Atkinson, George Francis, 1854-1918",1854,1918,QK,Cooking (Mushrooms); Fungi -- United States; Mushrooms,Category: Science - Biology; Category: Science - Earth/Agricultural/Farming; Category: How To ...; Category: Nature/Gardening/Animals,719342,121922
13407,A Series of Lessons in Gnani Yoga: The Yoga of Wisdom,"Atkinson, William Walker, 1862-1932",1862,1932,BF,"Yoga, Jñana",Hinduism; Category: Philosophy & Ethics; Category: Religion/Spirituality,468653,79432
13656,A Series of Lessons in Raja Yoga,"Atkinson, William Walker, 1862-1932",1862,1932,BF,"Yoga; Yoga, Raja",Hinduism; Category: Philosophy & Ethics; Category: Religion/Spirituality,458273,77673
12480,Clairvoyance and Occult Powers,"Atkinson, William Walker, 1862-1932",1862,1932,BF,Clairvoyance,Category: How To ...; Category: Religion/Spirituality,524477,88894
25337,"Genuine Mediumship; or, The Invisible Powers","Atkinson, William Walker, 1862-1932",1862,1932,BF,Mediums,Category: Philosophy & Ethics; Category: Religion/Spirituality,472310,80052
13143,"Mystic Christianity; Or, The Inner Teachings of the Master","Atkinson, William Walker, 1862-1932",1862,1932,BF,Yoga; Mysticism; Jesus Christ -- Miscellanea,Category: Philosophy & Ethics; Category: Religion/Spirituality,425162,72061
