pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
50906,Savrola: A Tale of the Revolution in Laurania,"Churchill, Winston, 1874-1965",1874,1965,PR,Political fiction; Revolutions -- Fiction,Nobel Prizes in Literature,357965,60672
3242,The Doctor : A Tale of the Rockies,"Connor, Ralph, 1860-1937",1860,1937,PS,Physicians -- Fiction; Canada -- Fiction; Mountain life -- Fiction; Rocky Mountains -- Fiction,"Bestsellers, American, 1895-1923",573458,97196
3249,The Major,"Connor, Ralph, 1860-1937",1860,1937,PS,"Canada -- Fiction; World War, 1914-1918 -- Canada -- Fiction","Bestsellers, American, 1895-1923",706526,119750
5658,Lord Jim,"Conrad, Joseph, 1857-1924",1857,1924,PR,Psychological fiction; Atonement -- Fiction; Merchant marine -- Officers -- Fiction; British -- Indonesia -- Fiction; Cowardice -- Fiction; Indonesia -- Fiction,Best Books Ever Listings,751822,127427
1880,"The Pathfinder; Or, The Inland Sea","Cooper, James Fenimore, 1789-1851",1789,1851,PS,"Historical fiction; Indians of North America -- Fiction; War stories; United States -- History -- French and Indian War, 1754-1763 -- Fiction; Love stories; Frontier and pioneer life -- Fiction; Bumppo, Natty (Fictitious character) -- Fiction; Ontario, Lake (N.Y. and Ont.) -- Fiction",Harvard Classics,1032482,174996
4707,The Valley of Silent Men: A Story of the Three River Country,"Curwood, James Oliver, 1878-1927",1878,1927,PS,Western stories; Royal North West Mounted Police (Canada) -- Fiction; Mounted police -- Fiction; Athabasca (Alta.) -- Fiction; Athabasca River Valley (Alta.) -- Fiction; Peace-Athabasca Delta (Alta.) -- Fiction,"Bestsellers, American, 1895-1923",424633,71971
20015,The Child of Pleasure,"D'Annunzio, Gabriele, 1863-1938",1863,1938,PQ,Fiction,Banned Books from Anne Haight's list,597129,101208
16101,Diane of the Green Van,"Dalrymple, Leona, 1884-1968",1884,1968,PS,Inheritance and succession -- Fiction; Young women -- Fiction; Adventure stories; Automobile travel -- Fiction,"Bestsellers, American, 1895-1923",531174,90029
403,Soldiers of Fortune,"Davis, Richard Harding, 1864-1916",1864,1916,PS,Love stories; Political fiction; Triangles (Interpersonal relations) -- Fiction; Adventure stories; South America -- Fiction; Revolutions -- Fiction; Soldiers of fortune -- Fiction; Mines and mineral resources -- Fiction; Americans -- South America -- Fiction; Mining engineers -- Fiction,"Bestsellers, American, 1895-1923",454202,76983
25702,The Kingdom Round the Corner: A Novel,"Dawson, Coningsby, 1883-1959",1883,1959,PS,"Man-woman relationships -- Fiction; England -- Social life and customs -- 20th century -- Fiction; World War, 1914-1918 -- Veterans -- Fiction","Bestsellers, American, 1895-1923",548947,93041
6315,The Awakening of Helena Richie,"Deland, Margaret Wade Campbell, 1857-1945",1857,1945,PS,Women -- Fiction,"Bestsellers, American, 1895-1923",559320,94800
6474,The Iron Woman,"Deland, Margaret Wade Campbell, 1857-1945",1857,1945,PS,Fiction,"Bestsellers, American, 1895-1923",870894,147609
39834,After the Divorce: A Romance,"Deledda, Grazia, 1871-1936",1871,1936,PQ,Italy -- Fiction; Villages -- Fiction; Divorce -- Fiction; Sardinia (Italy) -- Fiction,Nobel Prizes in Literature,483880,82013
63962,Ashes (Cenere): A Sardinian Story,"Deledda, Grazia, 1871-1936",1871,1936,PQ,Unmarried mothers -- Fiction; Parent and child -- Fiction; Sardinia (Italy) -- Social life and customs -- Fiction,Nobel Prizes in Literature,464099,78660
13497,Greatheart,"Dell, Ethel M. (Ethel May), 1881-1939",1881,1939,PR,Love stories; Triangles (Interpersonal relations) -- Fiction; Brothers -- Fiction,"Bestsellers, American, 1895-1923",833299,141237
