pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
48296,Linnet: A Romance,"Allen, Grant, 1848-1899",1848,1899,PR,London (England) -- Fiction; Alps -- Fiction; Tyrol (Austria) -- Fiction,Category: Romance; Category: Novels; Category: British Literature,859497,145677
30970,Miss Cayley's Adventures,"Allen, Grant, 1848-1899",1848,1899,PR,Young women -- Fiction; Adventure stories; Travel -- Fiction; Man-woman relationships -- Fiction; Mystery fiction,Category: Humour; Category: Adventure; Category: Novels; Category: British Literature,507036,85938
6060,Philistia,"Allen, Grant, 1848-1899",1848,1899,PR,Fiction,Category: Novels; Category: British Literature,847385,143624
13876,The Great Taboo,"Allen, Grant, 1848-1899",1848,1899,PR,Polynesia -- Fiction,"Category: Adventure; Category: Novels; Category: Mythology, Legends & Folklore",449468,76181
2316,The Choir Invisible,"Allen, James Lane, 1849-1925",1849,1925,PS,Kentucky -- Fiction,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: American Literature",405965,68807
42923,The Doctor's Christmas Eve,"Allen, James Lane, 1849-1925",1849,1925,PS,Christmas stories; Physicians -- Fiction; Kentucky -- Fiction,Christmas; Category: Novels; Category: American Literature,392339,66498
12482,The Mettle of the Pasture,"Allen, James Lane, 1849-1925",1849,1925,PS,Kentucky -- Fiction,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",462118,78325
3791,The Reign of Law; a tale of the Kentucky hemp fields,"Allen, James Lane, 1849-1925",1849,1925,PS,Kentucky -- Fiction; Hemp farmers -- Fiction; Hemp industry -- Fiction,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",388014,65765
45413,The North Pacific: A Story of the Russo-Japanese War,"Allen, Willis Boyd, 1855-1938",1855,1938,PS,"Russo-Japanese War, 1904-1905 -- Fiction",Category: Historical Novels; Category: Adventure; Category: Novels; Category: History - Modern (1750+); Category: History - Warfare,434427,73631
57358,"Hawk's Nest; or, The Last of the Cahoonshees. | A Tale of the Delaware Valley and Historical Romance of 1690.","Allerton, James M. (James Martin), 1822-1910",1822,1910,PS,Historical fiction; Delaware River Valley (N.Y.-Del. and N.J.) -- Fiction,Category: Historical Novels; Category: Romance; Category: American Literature,428994,72710
64223,Jewel sowers: a novel,"Allonby, Edith, 1875-1905",1875,1905,PR,Fantasy fiction; Conduct of life -- Fiction; Parables,Category: Science-Fiction & Fantasy; Category: Novels,550628,93326
